metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017300100,25001703001,2.50E+12,552,9612,0.809,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017301100,25001703011,2.50E+12,1101,11156,0.938,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017302100,25001703021,2.50E+12,983,10193,0.857,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017302200,25001703022,2.50E+12,166,6909,0.581,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310100,25001703101,2.50E+12,112,4542,0.382,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310200,25001703102,2.50E+12,1499,10342,0.87,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310300,25001703103,2.50E+12,1482,9701,0.816,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310400,25001703104,2.50E+12,908,8571,0.721,2
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310500,25001703105,2.50E+12,819,9189,0.773,2
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310600,25001703106,2.50E+12,1637,10645,0.895,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310700,25001703107,2.50E+12,889,9178,0.772,2
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310800,25001703108,2.50E+12,250,6800,0.572,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017310900,25001703109,2.50E+12,173,7132,0.6,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311000,25001703110,2.50E+12,360,5161,0.434,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311100,25001703111,2.50E+12,646,6813,0.573,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311200,25001703112,2.50E+12,769,7757,0.652,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311300,25001703113,2.50E+12,951,10406,0.875,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311400,25001703114,2.50E+12,1109,10017,0.843,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311500,25001703115,2.50E+12,711,10596,0.891,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311600,25001703116,2.50E+12,1404,10944,0.921,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311700,25001703117,2.50E+12,1064,9547,0.803,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311800,25001703118,2.50E+12,840,7897,0.664,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017311900,25001703119,2.50E+12,988,6015,0.506,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017312000,25001703120,2.50E+12,627,7514,0.632,1
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017312100,25001703121,2.50E+12,665,9546,0.803,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017312200,25001703122,2.50E+12,1099,9318,0.784,2
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017312300,25001703123,2.50E+12,1094,10608,0.892,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017312400,25001703124,2.50E+12,640,7947,0.668,2
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017312500,25001703125,2.50E+12,2118,12568,1.057,4
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017313100,25001703131,2.50E+12,1042,9696,0.816,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017314100,25001703141,2.50E+12,1892,11253,0.947,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017314200,25001703142,2.50E+12,1232,10610,0.892,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017314300,25001703143,2.50E+12,1226,11629,0.978,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017315100,25001703151,2.50E+12,794,13004,1.094,4
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017315200,25001703152,2.50E+12,997,12680,1.067,4
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017315300,25001703153,2.50E+12,9,20000,1.682,6
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017315400,25001703154,2.50E+12,1193,11212,0.943,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017315500,25001703155,2.50E+12,1793,11476,0.965,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017316100,25001703161,2.50E+12,2095,11696,0.984,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017316200,25001703162,2.50E+12,1726,11386,0.958,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017316300,25001703163,2.50E+12,876,11265,0.948,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017316400,25001703164,2.50E+12,1154,11135,0.937,3
15764,"Cambridge-Newton-Framingham, MA",1970,11889,25017,25017316500,25001703165,2.50E+12,1522,10889,0.916,3
