metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017300100,25001703001,2.50E+12,722,49310,0.944,3,25001703001
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017301100,25001703011,2.50E+12,2350,50629,0.969,3,25001703011
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017302100,25001703021,2.50E+12,1392,44292,0.848,3,25001703021
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017302200,25001703022,2.50E+12,189,35865,0.686,2,25001703022
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310100,25001703101,2.50E+12,588,19000,0.364,1,25001703101
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310200,25001703102,2.50E+12,1510,42463,0.813,3,25001703102
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310300,25001703103,2.50E+12,1497,37961,0.727,2,25001703103
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310400,25001703104,2.50E+12,838,25641,0.491,1,25001703104
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310500,25001703105,2.50E+12,714,37021,0.709,2,25001703105
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310600,25001703106,2.50E+12,2662,44536,0.852,3,25001703106
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310700,25001703107,2.50E+12,751,24351,0.466,1,25001703107
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017310800,25001703108,2.50E+12,253,21875,0.419,1,25001703108
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311000,25001703110,2.50E+12,653,9445,0.181,1,25001703110
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311100,25001703111,2.50E+12,621,17755,0.34,1,25001703111
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311200,25001703112,2.50E+12,727,17599,0.337,1,25001703112
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311300,25001703113,2.50E+12,875,36289,0.695,2,25001703113
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311400,25001703114,2.50E+12,1343,35989,0.689,2,25001703114
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311500,25001703115,2.50E+12,712,38819,0.743,2,25001703115
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311600,25001703116,2.50E+12,1340,39821,0.762,2,25001703116
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311700,25001703117,2.50E+12,1058,33720,0.645,1,25001703117
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311800,25001703118,2.50E+12,742,26359,0.504,1,25001703118
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017311900,25001703119,2.50E+12,642,24821,0.475,1,25001703119
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017312000,25001703120,2.50E+12,809,28429,0.544,1,25001703120
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017312100,25001703121,2.50E+12,727,32013,0.613,1,25001703121
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017312200,25001703122,2.50E+12,1260,31990,0.612,1,25001703122
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017312300,25001703123,2.50E+12,1324,41385,0.792,2,25001703123
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017312400,25001703124,2.50E+12,590,25273,0.484,1,25001703124
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017312500,25001703125,2.50E+12,2327,54031,1.034,4,25001703125
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017313100,25001703131,2.50E+12,2326,52358,1.002,4,25001703131
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017314100,25001703141,2.50E+12,3095,47595,0.911,3,25001703141
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017314200,25001703142,2.50E+12,1359,44186,0.846,3,25001703142
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017314398,2.50E+12,2.50E+12,2596,52573,1.006,4,2500170314398
15764,"Cambridge-Newton-Framingham, MA",1990,52252,25017,25017315100,25001703151,2.50E+12,1327,58228,1.114,4,25001703151
