metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017300100,25001703001,2.50E+12,786,84655,0.844,3
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017301101,2.50E+12,2.50E+12,1004,79185,0.79,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017301102,2.50E+12,2.50E+12,1301,98147,0.979,3
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310100,25001703101,2.50E+12,848,32239,0.322,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310200,25001703102,2.50E+12,1455,74242,0.74,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310300,25001703103,2.50E+12,1653,46838,0.467,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310400,25001703104,2.50E+12,838,47110,0.47,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310500,25001703105,2.50E+12,648,70147,0.7,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310601,2.50E+12,2.50E+12,1344,70000,0.698,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310602,2.50E+12,2.50E+12,1527,67184,0.67,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017310700,25001703107,2.50E+12,865,54882,0.547,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311100,25001703111,2.50E+12,498,29107,0.29,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311200,25001703112,2.50E+12,499,49835,0.497,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311300,25001703113,2.50E+12,670,55357,0.552,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311400,25001703114,2.50E+12,1690,49338,0.492,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311500,25001703115,2.50E+12,820,55833,0.557,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311600,25001703116,2.50E+12,1394,75094,0.749,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311700,25001703117,2.50E+12,1250,65500,0.653,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311800,25001703118,2.50E+12,840,52115,0.52,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017311900,25001703119,2.50E+12,527,32548,0.325,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017312000,25001703120,2.50E+12,672,51990,0.518,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017312100,25001703121,2.50E+12,544,47279,0.471,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017312200,25001703122,2.50E+12,1032,76708,0.765,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017312300,25001703123,2.50E+12,1392,55417,0.553,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017312400,25001703124,2.50E+12,519,52702,0.526,1
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017312501,2.50E+12,2.50E+12,1066,104167,1.039,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017312502,2.50E+12,2.50E+12,873,103789,1.035,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017313101,2.50E+12,2.50E+12,1475,120813,1.205,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017313102,2.50E+12,2.50E+12,1575,103705,1.034,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017314101,2.50E+12,2.50E+12,1480,77500,0.773,2
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017314102,2.50E+12,2.50E+12,1908,86875,0.866,3
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017314200,25001703142,2.50E+12,1270,85893,0.857,3
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017314301,2.50E+12,2.50E+12,2343,92433,0.922,3
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017314302,2.50E+12,2.50E+12,802,116333,1.16,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017315100,25001703151,2.50E+12,1586,118750,1.184,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017315200,25001703152,2.50E+12,1987,104306,1.04,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017315401,2.50E+12,2.50E+12,820,95943,0.957,3
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017315402,2.50E+12,2.50E+12,802,111667,1.114,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017315403,2.50E+12,2.50E+12,384,100625,1.003,4
15764,"Cambridge-Newton-Framingham, MA",2009,100275,25017,25017315500,25001703155,2.50E+12,2028,98625,0.984,3
