metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
21604,"Essex County, MA",1980,21660,25009,25009201100,25000902011,2.50E+12,987,25722,1.188,4,25000902011
21604,"Essex County, MA",1980,21660,25009,25009202100,25000902021,2.50E+12,2091,24654,1.138,4,25000902021
21604,"Essex County, MA",1980,21660,25009,25009202200,25000902022,2.50E+12,1735,31942,1.475,5,25000902022
21604,"Essex County, MA",1980,21660,25009,25009203100,25000902031,2.50E+12,1989,32782,1.513,6,25000902031
21604,"Essex County, MA",1980,21660,25009,25009203200,25000902032,2.50E+12,1181,31391,1.449,5,25000902032
21604,"Essex County, MA",1980,21660,25009,25009203300,25000902033,2.50E+12,2232,24202,1.117,4,25000902033
21604,"Essex County, MA",1980,21660,25009,25009204100,25000902041,2.50E+12,2005,20748,0.958,3,25000902041
21604,"Essex County, MA",1980,21660,25009,25009204200,25000902042,2.50E+12,1150,19127,0.883,3,25000902042
21604,"Essex County, MA",1980,21660,25009,25009204300,25000902043,2.50E+12,784,13000,0.6,1,25000902043
21604,"Essex County, MA",1980,21660,25009,25009204400,25000902044,2.50E+12,951,18381,0.849,3,25000902044
21604,"Essex County, MA",1980,21660,25009,25009204500,25000902045,2.50E+12,723,17953,0.829,3,25000902045
21604,"Essex County, MA",1980,21660,25009,25009204600,25000902046,2.50E+12,1557,20228,0.934,3,25000902046
21604,"Essex County, MA",1980,21660,25009,25009204700,25000902047,2.50E+12,2441,19670,0.908,3,25000902047
21604,"Essex County, MA",1980,21660,25009,25009205100,25000902051,2.50E+12,1559,21121,0.975,3,25000902051
21604,"Essex County, MA",1980,21660,25009,25009205200,25000902052,2.50E+12,1463,20505,0.947,3,25000902052
21604,"Essex County, MA",1980,21660,25009,25009205300,25000902053,2.50E+12,1295,23795,1.099,4,25000902053
21604,"Essex County, MA",1980,21660,25009,25009205400,25000902054,2.50E+12,1139,25818,1.192,4,25000902054
21604,"Essex County, MA",1980,21660,25009,25009205500,25000902055,2.50E+12,1057,17279,0.798,2,25000902055
21604,"Essex County, MA",1980,21660,25009,25009205600,25000902056,2.50E+12,1030,20753,0.958,3,25000902056
21604,"Essex County, MA",1980,21660,25009,25009205700,25000902057,2.50E+12,1247,21311,0.984,3,25000902057
21604,"Essex County, MA",1980,21660,25009,25009205800,25000902058,2.50E+12,672,17548,0.81,3,25000902058
21604,"Essex County, MA",1980,21660,25009,25009205900,25000902059,2.50E+12,1061,18739,0.865,3,25000902059
21604,"Essex County, MA",1980,21660,25009,25009206000,25000902060,2.50E+12,671,14327,0.661,1,25000902060
21604,"Essex County, MA",1980,21660,25009,25009206100,25000902061,2.50E+12,643,12812,0.591,1,25000902061
21604,"Essex County, MA",1980,21660,25009,25009206200,25000902062,2.50E+12,1006,14618,0.675,2,25000902062
21604,"Essex County, MA",1980,21660,25009,25009206300,25000902063,2.50E+12,881,16174,0.747,2,25000902063
21604,"Essex County, MA",1980,21660,25009,25009206400,25000902064,2.50E+12,1364,19333,0.893,3,25000902064
21604,"Essex County, MA",1980,21660,25009,25009206500,25000902065,2.50E+12,726,15446,0.713,2,25000902065
21604,"Essex County, MA",1980,21660,25009,25009206600,25000902066,2.50E+12,1130,19203,0.887,3,25000902066
21604,"Essex County, MA",1980,21660,25009,25009206700,25000902067,2.50E+12,796,17560,0.811,3,25000902067
21604,"Essex County, MA",1980,21660,25009,25009206800,25000902068,2.50E+12,352,11857,0.547,1,25000902068
21604,"Essex County, MA",1980,21660,25009,25009206900,25000902069,2.50E+12,495,11354,0.524,1,25000902069
21604,"Essex County, MA",1980,21660,25009,25009207000,25000902070,2.50E+12,300,10000,0.462,1,25000902070
21604,"Essex County, MA",1980,21660,25009,25009207100,25000902071,2.50E+12,672,16056,0.741,2,25000902071
21604,"Essex County, MA",1980,21660,25009,25009207200,25000902072,2.50E+12,601,11103,0.513,1,25000902072
21604,"Essex County, MA",1980,21660,25009,25009208100,25000902081,2.50E+12,2404,22217,1.026,4,25000902081
21604,"Essex County, MA",1980,21660,25009,25009208200,25000902082,2.50E+12,1538,21599,0.997,3,25000902082
21604,"Essex County, MA",1980,21660,25009,25009208300,25000902083,2.50E+12,1767,24781,1.144,4,25000902083
21604,"Essex County, MA",1980,21660,25009,25009208400,25000902084,2.50E+12,1027,26504,1.224,4,25000902084
21604,"Essex County, MA",1980,21660,25009,25009209100,25000902091,2.50E+12,1603,31181,1.44,5,25000902091
21604,"Essex County, MA",1980,21660,25009,25009209200,25000902092,2.50E+12,1482,36897,1.703,6,25000902092
21604,"Essex County, MA",1980,21660,25009,25009210100,25000902101,2.50E+12,1680,27140,1.253,5,25000902101
21604,"Essex County, MA",1980,21660,25009,25009210200,25000902102,2.50E+12,1554,27521,1.271,5,25000902102
21604,"Essex County, MA",1980,21660,25009,25009210300,25000902103,2.50E+12,1656,26205,1.21,4,25000902103
21604,"Essex County, MA",1980,21660,25009,25009210400,25000902104,2.50E+12,1775,22996,1.062,4,25000902104
21604,"Essex County, MA",1980,21660,25009,25009210500,25000902105,2.50E+12,1502,23556,1.088,4,25000902105
21604,"Essex County, MA",1980,21660,25009,25009210600,25000902106,2.50E+12,1167,23268,1.074,4,25000902106
21604,"Essex County, MA",1980,21660,25009,25009210700,25000902107,2.50E+12,977,17666,0.816,3,25000902107
21604,"Essex County, MA",1980,21660,25009,25009210800,25000902108,2.50E+12,1011,16008,0.739,2,25000902108
21604,"Essex County, MA",1980,21660,25009,25009210900,25000902109,2.50E+12,1113,20786,0.96,3,25000902109
21604,"Essex County, MA",1980,21660,25009,25009211100,25000902111,2.50E+12,956,22819,1.053,4,25000902111
21604,"Essex County, MA",1980,21660,25009,25009211200,25000902112,2.50E+12,1611,21115,0.975,3,25000902112
21604,"Essex County, MA",1980,21660,25009,25009211300,25000902113,2.50E+12,1666,28750,1.327,5,25000902113
21604,"Essex County, MA",1980,21660,25009,25009211400,25000902114,2.50E+12,1869,27627,1.275,5,25000902114
21604,"Essex County, MA",1980,21660,25009,25009211500,25000902115,2.50E+12,0,,,,25000902115
21604,"Essex County, MA",1980,21660,25009,25009212100,25000902121,2.50E+12,1091,23138,1.068,4,25000902121
21604,"Essex County, MA",1980,21660,25009,25009213100,25000902131,2.50E+12,1457,35568,1.642,6,25000902131
21604,"Essex County, MA",1980,21660,25009,25009214100,25000902141,2.50E+12,1554,32662,1.508,6,25000902141
21604,"Essex County, MA",1980,21660,25009,25009215100,25000902151,2.50E+12,1914,28272,1.305,5,25000902151
21604,"Essex County, MA",1980,21660,25009,25009216100,25000902161,2.50E+12,911,35029,1.617,6,25000902161
21604,"Essex County, MA",1980,21660,25009,25009217100,25000902171,2.50E+12,1683,25669,1.185,4,25000902171
21604,"Essex County, MA",1980,21660,25009,25009217200,25000902172,2.50E+12,2316,22952,1.06,4,25000902172
21604,"Essex County, MA",1980,21660,25009,25009217300,25000902173,2.50E+12,1269,17733,0.819,3,25000902173
21604,"Essex County, MA",1980,21660,25009,25009217400,25000902174,2.50E+12,1150,16032,0.74,2,25000902174
21604,"Essex County, MA",1980,21660,25009,25009217500,25000902175,2.50E+12,1850,22976,1.061,4,25000902175
