metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin2_mod
14484,"Boston-Quincy, MA",2000,63577,25021,25021414200,25002104142,2.50E+12,2115,115454,1.816,6,2500214014200
14484,"Boston-Quincy, MA",2000,63577,25021,25021414300,25002104143,2.50E+12,1329,78828,1.24,4,2500214014300
14484,"Boston-Quincy, MA",2000,63577,25021,25021415101,2.50E+12,2.50E+12,1210,82903,1.304,5,2500214015101
14484,"Boston-Quincy, MA",2000,63577,25021,25021415102,2.50E+12,2.50E+12,1939,72102,1.134,4,2500214015102
14484,"Boston-Quincy, MA",2000,63577,25021,25021415200,25002104152,2.50E+12,1355,88111,1.386,5,2500214015200
14484,"Boston-Quincy, MA",2000,63577,25021,25021415300,25002104153,2.50E+12,1058,94430,1.485,5,2500214015300
14484,"Boston-Quincy, MA",2000,63577,25021,25021416100,25002104161,2.50E+12,2095,97443,1.533,6,2500214016100
14484,"Boston-Quincy, MA",2000,63577,25021,25021416200,25002104162,2.50E+12,1796,83626,1.315,5,2500214016200
14484,"Boston-Quincy, MA",2000,63577,25021,25021416300,25002104163,2.50E+12,1234,94143,1.481,5,2500214016300
14484,"Boston-Quincy, MA",2000,63577,25021,25021416400,25002104164,2.50E+12,1652,98768,1.554,6,2500214016400
14484,"Boston-Quincy, MA",2000,63577,25021,25021417100,25002104171,2.50E+12,1142,75432,1.186,4,2500214017100
14484,"Boston-Quincy, MA",2000,63577,25021,25021417200,25002104172,2.50E+12,1877,58250,0.916,3,2500214017200
14484,"Boston-Quincy, MA",2000,63577,25021,25021417300,25002104173,2.50E+12,436,81677,1.285,5,2500214017300
14484,"Boston-Quincy, MA",2000,63577,25021,25021417400,25002104174,2.50E+12,747,66779,1.05,4,2500214017400
14484,"Boston-Quincy, MA",2000,63577,25021,25021417501,2.50E+12,2.50E+12,1201,56250,0.885,3,2500214017501
14484,"Boston-Quincy, MA",2000,63577,25021,25021417502,2.50E+12,2.50E+12,1004,60083,0.945,3,2500214017502
14484,"Boston-Quincy, MA",2000,63577,25021,25021417601,2.50E+12,2.50E+12,1131,64125,1.009,4,2500214017601
14484,"Boston-Quincy, MA",2000,63577,25021,25021417602,2.50E+12,2.50E+12,992,58125,0.914,3,2500214017602
14484,"Boston-Quincy, MA",2000,63577,25021,25021417700,25002104177,2.50E+12,1669,59971,0.943,3,2500214017700
14484,"Boston-Quincy, MA",2000,63577,25021,25021417801,2.50E+12,2.50E+12,1471,66599,1.048,4,2500214017801
14484,"Boston-Quincy, MA",2000,63577,25021,25021417802,2.50E+12,2.50E+12,809,30101,0.473,1,2500214017802
14484,"Boston-Quincy, MA",2000,63577,25021,25021417901,2.50E+12,2.50E+12,1254,48710,0.766,2,2500214017901
14484,"Boston-Quincy, MA",2000,63577,25021,25021417902,2.50E+12,2.50E+12,840,53984,0.849,3,2500214017902
14484,"Boston-Quincy, MA",2000,63577,25021,25021418001,2.50E+12,2.50E+12,1521,53413,0.84,3,2500214018001
14484,"Boston-Quincy, MA",2000,63577,25021,25021418002,2.50E+12,2.50E+12,1477,59410,0.934,3,2500214018002
14484,"Boston-Quincy, MA",2000,63577,25021,25021418100,25002104181,2.50E+12,1689,68792,1.082,4,2500214018100
14484,"Boston-Quincy, MA",2000,63577,25021,25021418200,25002104182,2.50E+12,1428,64360,1.012,4,2500214018200
14484,"Boston-Quincy, MA",2000,63577,25021,25021419100,25002104191,2.50E+12,1477,76205,1.199,4,2500214019100
14484,"Boston-Quincy, MA",2000,63577,25021,25021419200,25002104192,2.50E+12,1328,73452,1.155,4,2500214019200
14484,"Boston-Quincy, MA",2000,63577,25021,25021419300,25002104193,2.50E+12,987,55125,0.867,3,2500214019300
14484,"Boston-Quincy, MA",2000,63577,25021,25021419400,25002104194,2.50E+12,816,66094,1.04,4,2500214019400
14484,"Boston-Quincy, MA",2000,63577,25021,25021419500,25002104195,2.50E+12,787,74358,1.17,4,2500214019500
14484,"Boston-Quincy, MA",2000,63577,25021,25021419600,25002104196,2.50E+12,1553,83839,1.319,5,2500214019600
14484,"Boston-Quincy, MA",2000,63577,25021,25021419700,25002104197,2.50E+12,964,75710,1.191,4,2500214019700
14484,"Boston-Quincy, MA",2000,63577,25021,25021419800,25002104198,2.50E+12,976,64605,1.016,4,2500214019800
14484,"Boston-Quincy, MA",2000,63577,25021,25021420100,25002104201,2.50E+12,2049,60339,0.949,3,2500214020100
14484,"Boston-Quincy, MA",2000,63577,25021,25021420201,2.50E+12,2.50E+12,859,65750,1.034,4,2500214020201
14484,"Boston-Quincy, MA",2000,63577,25021,25021420202,2.50E+12,2.50E+12,1483,61875,0.973,3,2500214020202
14484,"Boston-Quincy, MA",2000,63577,25021,25021420301,2.50E+12,2.50E+12,1745,60810,0.956,3,2500214020301
14484,"Boston-Quincy, MA",2000,63577,25021,25021420302,2.50E+12,2.50E+12,1934,65455,1.03,4,2500214020302
14484,"Boston-Quincy, MA",2000,63577,25021,25021421100,25002104211,2.50E+12,1397,57127,0.899,3,2500214021100
14484,"Boston-Quincy, MA",2000,63577,25021,25021421200,25002104212,2.50E+12,1507,66157,1.041,4,2500214021200
14484,"Boston-Quincy, MA",2000,63577,25021,25021422100,25002104221,2.50E+12,1306,77902,1.225,4,2500214022100
14484,"Boston-Quincy, MA",2000,63577,25021,25021422200,25002104222,2.50E+12,1847,64250,1.011,4,2500214022200
14484,"Boston-Quincy, MA",2000,63577,25021,25021422301,2.50E+12,2.50E+12,841,72138,1.135,4,2500214022301
14484,"Boston-Quincy, MA",2000,63577,25021,25021422302,2.50E+12,2.50E+12,1593,57295,0.901,3,2500214022302
14484,"Boston-Quincy, MA",2000,63577,25021,25021422400,25002104224,2.50E+12,1798,61193,0.963,3,2500214022400
14484,"Boston-Quincy, MA",2000,63577,25021,25021422501,2.50E+12,2.50E+12,1193,66058,1.039,4,2500214022501
14484,"Boston-Quincy, MA",2000,63577,25021,25021422502,2.50E+12,2.50E+12,1340,47264,0.743,2,2500214022502
14484,"Boston-Quincy, MA",2000,63577,25021,25021422600,25002104226,2.50E+12,1907,71075,1.118,4,2500214022600
14484,"Boston-Quincy, MA",2000,63577,25021,25021422700,25002104227,2.50E+12,1067,65168,1.025,4,2500214022700
14484,"Boston-Quincy, MA",2000,63577,25021,25021422800,25002104228,2.50E+12,1153,71331,1.122,4,2500214022800
14484,"Boston-Quincy, MA",2000,63577,25021,25021423100,25002104231,2.50E+12,2060,100137,1.575,6,2500214023100
14484,"Boston-Quincy, MA",2000,63577,25021,25021440100,25002104401,2.50E+12,2039,68640,1.08,4,2500214040100
14484,"Boston-Quincy, MA",2000,63577,25021,25021441201,2.50E+12,2.50E+12,2029,83287,1.31,5,2500214041201
14484,"Boston-Quincy, MA",2000,63577,25021,25021441202,2.50E+12,2.50E+12,621,99815,1.57,6,2500214041202
14484,"Boston-Quincy, MA",2000,63577,25021,25021442101,2.50E+12,2.50E+12,1347,68287,1.074,4,2500214042101
14484,"Boston-Quincy, MA",2000,63577,25021,25021442102,2.50E+12,2.50E+12,1929,82435,1.297,5,2500214042102
14484,"Boston-Quincy, MA",2000,63577,25021,25021442103,2.50E+12,2.50E+12,1738,90731,1.427,5,2500214042103
14484,"Boston-Quincy, MA",2000,63577,25021,25021442200,25002104422,2.50E+12,2880,81654,1.284,5,2500214042200
14484,"Boston-Quincy, MA",2000,63577,25021,25021443101,2.50E+12,2.50E+12,2065,72416,1.139,4,2500214043101
14484,"Boston-Quincy, MA",2000,63577,25021,25021443102,2.50E+12,2.50E+12,2241,71614,1.126,4,2500214043102
14484,"Boston-Quincy, MA",2000,63577,25021,25021456101,2.50E+12,2.50E+12,1017,75993,1.195,4,2500214056101
14484,"Boston-Quincy, MA",2000,63577,25021,25021456102,2.50E+12,2.50E+12,1251,67689,1.065,4,2500214056102
14484,"Boston-Quincy, MA",2000,63577,25021,25021456200,25002104562,2.50E+12,866,72328,1.138,4,2500214056200
14484,"Boston-Quincy, MA",2000,63577,25021,25021456300,25002104563,2.50E+12,1845,61477,0.967,3,2500214056300
14484,"Boston-Quincy, MA",2000,63577,25021,25021456401,2.50E+12,2.50E+12,830,61579,0.969,3,2500214056401
14484,"Boston-Quincy, MA",2000,63577,25021,25021456402,2.50E+12,2.50E+12,1500,86008,1.353,5,2500214056402
14484,"Boston-Quincy, MA",2000,63577,25021,25021457100,25002104571,2.50E+12,1223,60625,0.954,3,2500214057100
14484,"Boston-Quincy, MA",2000,63577,25023,25023000000,25002300000,2.50E+12,0,,,,2500230000000
14484,"Boston-Quincy, MA",2000,63577,25023,25023500101,2.50E+12,2.50E+12,1132,62358,0.981,3,2500235000101
14484,"Boston-Quincy, MA",2000,63577,25023,25023500102,2.50E+12,2.50E+12,1719,62225,0.979,3,2500235000102
14484,"Boston-Quincy, MA",2000,63577,25023,25023501101,2.50E+12,2.50E+12,882,88826,1.397,5,2500235001101
14484,"Boston-Quincy, MA",2000,63577,25023,25023501102,2.50E+12,2.50E+12,1971,97570,1.535,6,2500235001102
14484,"Boston-Quincy, MA",2000,63577,25023,25023501201,2.50E+12,2.50E+12,1047,100067,1.574,6,2500235001201
14484,"Boston-Quincy, MA",2000,63577,25023,25023501202,2.50E+12,2.50E+12,1593,103843,1.633,6,2500235001202
14484,"Boston-Quincy, MA",2000,63577,25023,25023502101,2.50E+12,2.50E+12,1571,57324,0.902,3,2500235002101
14484,"Boston-Quincy, MA",2000,63577,25023,25023502102,2.50E+12,2.50E+12,1545,59212,0.931,3,2500235002102
