metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin2_mod
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315402,2.50E+12,2.50E+12,851,84680,1.14,4,2500170315402
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315403,2.50E+12,2.50E+12,487,73472,0.989,3,2500170315403
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315500,25001703155,2.50E+12,2181,65365,0.88,3,2500170315500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316101,2.50E+12,2.50E+12,1426,73661,0.992,3,2500170316101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316102,2.50E+12,2.50E+12,1669,71795,0.966,3,2500170316102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316201,2.50E+12,2.50E+12,1105,80476,1.083,4,2500170316201
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316202,2.50E+12,2.50E+12,1134,71571,0.963,3,2500170316202
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316300,25001703163,2.50E+12,1892,69306,0.933,3,2500170316300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316400,25001703164,2.50E+12,1501,72527,0.976,3,2500170316400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316500,25001703165,2.50E+12,1579,70290,0.946,3,2500170316500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317101,2.50E+12,2.50E+12,1579,83163,1.119,4,2500170317101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317102,2.50E+12,2.50E+12,1159,81437,1.096,4,2500170317102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317103,2.50E+12,2.50E+12,1469,86464,1.164,4,2500170317103
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317201,2.50E+12,2.50E+12,844,101015,1.36,5,2500170317201
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317202,2.50E+12,2.50E+12,1077,90819,1.222,4,2500170317202
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317203,2.50E+12,2.50E+12,1137,79169,1.066,4,2500170317203
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317300,25001703173,2.50E+12,2096,71479,0.962,3,2500170317300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017318100,25001703181,2.50E+12,1774,93475,1.258,5,2500170318100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017318200,25001703182,2.50E+12,1009,80305,1.081,4,2500170318200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017318300,25001703183,2.50E+12,2041,118583,1.596,6,2500170318300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017318400,25001703184,2.50E+12,1000,125635,1.691,6,2500170318400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017320101,2.50E+12,2.50E+12,2347,101379,1.365,5,2500170320101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017320102,2.50E+12,2.50E+12,1323,104737,1.41,5,2500170320102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017321100,25001703211,2.50E+12,1767,80108,1.078,4,2500170321100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017321200,25001703212,2.50E+12,1607,55260,0.744,2,2500170321200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017321300,25001703213,2.50E+12,1670,57333,0.772,2,2500170321300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017321400,25001703214,2.50E+12,810,86462,1.164,4,2500170321400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017321500,25001703215,2.50E+12,1489,63892,0.86,3,2500170321500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017321600,25001703216,2.50E+12,2031,78846,1.061,4,2500170321600
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017322100,25001703221,2.50E+12,1314,86221,1.161,4,2500170322100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017322200,25001703222,2.50E+12,845,65352,0.88,3,2500170322200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017322300,25001703223,2.50E+12,1504,63333,0.853,3,2500170322300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017322400,25001703224,2.50E+12,1217,67083,0.903,3,2500170322400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017323100,25001703231,2.50E+12,1682,102530,1.38,5,2500170323100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017324100,25001703241,2.50E+12,2255,83365,1.122,4,2500170324100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017325100,25001703251,2.50E+12,1797,61968,0.834,3,2500170325100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017326100,25001703261,2.50E+12,2549,92014,1.239,4,2500170326100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017327101,2.50E+12,2.50E+12,890,84893,1.143,4,2500170327101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017327102,2.50E+12,2.50E+12,1163,56875,0.766,2,2500170327102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017327103,2.50E+12,2.50E+12,965,80141,1.079,4,2500170327103
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017328100,25001703281,2.50E+12,804,92270,1.242,4,2500170328100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017330100,25001703301,2.50E+12,2183,90273,1.215,4,2500170330100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017330200,25001703302,2.50E+12,1561,81601,1.098,4,2500170330200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017331101,2.50E+12,2.50E+12,827,81007,1.09,4,2500170331101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017331102,2.50E+12,2.50E+12,1755,75676,1.019,4,2500170331102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017331200,25001703312,2.50E+12,1375,73016,0.983,3,2500170331200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017331300,25001703313,2.50E+12,1859,79639,1.072,4,2500170331300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017332100,25001703321,2.50E+12,1781,82592,1.112,4,2500170332100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017332200,25001703322,2.50E+12,1965,83299,1.121,4,2500170332200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017332300,25001703323,2.50E+12,1931,82530,1.111,4,2500170332300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017332400,25001703324,2.50E+12,751,76873,1.035,4,2500170332400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017333100,25001703331,2.50E+12,2002,77276,1.04,4,2500170333100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017333200,25001703332,2.50E+12,1286,64741,0.871,3,2500170333200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017333300,25001703333,2.50E+12,991,55888,0.752,2,2500170333300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017333400,25001703334,2.50E+12,1604,61220,0.824,3,2500170333400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017333501,2.50E+12,2.50E+12,1372,73233,0.986,3,2500170333501
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017333502,2.50E+12,2.50E+12,809,57212,0.77,2,2500170333502
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017333600,25001703336,2.50E+12,1631,63398,0.853,3,2500170333600
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017334100,25001703341,2.50E+12,1512,94504,1.272,5,2500170334100
