metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
21604,"Essex County, MA",1990,45794,25009,25009253100,25000902531,2.50E+12,1501,49029,1.071,4,25000902531
21604,"Essex County, MA",1990,45794,25009,25009253201,2.50E+12,2.50E+12,595,47604,1.04,4,2500090253201
21604,"Essex County, MA",1990,45794,25009,25009253202,2.50E+12,2.50E+12,1329,52303,1.142,4,2500090253202
21604,"Essex County, MA",1990,45794,25009,25009253203,2.50E+12,2.50E+12,826,85213,1.861,6,2500090253203
21604,"Essex County, MA",1990,45794,25009,25009253204,2.50E+12,2.50E+12,1655,82673,1.805,6,2500090253204
21604,"Essex County, MA",1990,45794,25009,25009254100,25000902541,2.50E+12,1387,57724,1.261,5,25000902541
21604,"Essex County, MA",1990,45794,25009,25009254200,25000902542,2.50E+12,1185,53433,1.167,4,25000902542
21604,"Essex County, MA",1990,45794,25009,25009254301,2.50E+12,2.50E+12,1063,79254,1.731,6,2500090254301
21604,"Essex County, MA",1990,45794,25009,25009254302,2.50E+12,2.50E+12,1222,78377,1.712,6,2500090254302
21604,"Essex County, MA",1990,45794,25009,25009254401,2.50E+12,2.50E+12,1752,79904,1.745,6,2500090254401
21604,"Essex County, MA",1990,45794,25009,25009254402,2.50E+12,2.50E+12,1411,72692,1.587,6,2500090254402
21604,"Essex County, MA",1990,45794,25009,25009260100,25000902601,2.50E+12,821,22480,0.491,1,25000902601
21604,"Essex County, MA",1990,45794,25009,25009260200,25000902602,2.50E+12,733,30512,0.666,1,25000902602
21604,"Essex County, MA",1990,45794,25009,25009260300,25000902603,2.50E+12,1824,47857,1.045,4,25000902603
21604,"Essex County, MA",1990,45794,25009,25009260400,25000902604,2.50E+12,1915,48111,1.051,4,25000902604
21604,"Essex County, MA",1990,45794,25009,25009260500,25000902605,2.50E+12,981,54004,1.179,4,25000902605
21604,"Essex County, MA",1990,45794,25009,25009260600,25000902606,2.50E+12,746,35878,0.783,2,25000902606
21604,"Essex County, MA",1990,45794,25009,25009260700,25000902607,2.50E+12,1146,40493,0.884,3,25000902607
21604,"Essex County, MA",1990,45794,25009,25009260800,25000902608,2.50E+12,973,30486,0.666,1,25000902608
21604,"Essex County, MA",1990,45794,25009,25009260900,25000902609,2.50E+12,1187,39812,0.869,3,25000902609
21604,"Essex County, MA",1990,45794,25009,25009261000,25000902610,2.50E+12,1038,44339,0.968,3,25000902610
