metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
14484,"Boston-Quincy, MA",1980,21235,25021,25021413500,25002104135,2.50E+12,1017,19980,0.941,3,25002104135
14484,"Boston-Quincy, MA",1980,21235,25021,25021414100,25002104141,2.50E+12,1026,29375,1.383,5,25002104141
14484,"Boston-Quincy, MA",1980,21235,25021,25021414200,25002104142,2.50E+12,1442,32653,1.538,6,25002104142
14484,"Boston-Quincy, MA",1980,21235,25021,25021414300,25002104143,2.50E+12,1328,26972,1.27,5,25002104143
14484,"Boston-Quincy, MA",1980,21235,25021,25021415100,25002104151,2.50E+12,2793,26626,1.254,5,25002104151
14484,"Boston-Quincy, MA",1980,21235,25021,25021415200,25002104152,2.50E+12,901,31098,1.464,5,25002104152
14484,"Boston-Quincy, MA",1980,21235,25021,25021415300,25002104153,2.50E+12,924,31992,1.507,6,25002104153
14484,"Boston-Quincy, MA",1980,21235,25021,25021416100,25002104161,2.50E+12,1844,31825,1.499,5,25002104161
14484,"Boston-Quincy, MA",1980,21235,25021,25021416200,25002104162,2.50E+12,1948,25922,1.221,4,25002104162
14484,"Boston-Quincy, MA",1980,21235,25021,25021416300,25002104163,2.50E+12,1198,27432,1.292,5,25002104163
14484,"Boston-Quincy, MA",1980,21235,25021,25021416400,25002104164,2.50E+12,1749,30580,1.44,5,25002104164
14484,"Boston-Quincy, MA",1980,21235,25021,25021417100,25002104171,2.50E+12,1265,25131,1.183,4,25002104171
14484,"Boston-Quincy, MA",1980,21235,25021,25021417200,25002104172,2.50E+12,2019,23443,1.104,4,25002104172
14484,"Boston-Quincy, MA",1980,21235,25021,25021417300,25002104173,2.50E+12,108,11000,0.518,1,25002104173
14484,"Boston-Quincy, MA",1980,21235,25021,25021417400,25002104174,2.50E+12,801,24943,1.175,4,25002104174
14484,"Boston-Quincy, MA",1980,21235,25021,25021417500,25002104175,2.50E+12,2533,21540,1.014,4,25002104175
14484,"Boston-Quincy, MA",1980,21235,25021,25021417600,25002104176,2.50E+12,2323,21860,1.029,4,25002104176
14484,"Boston-Quincy, MA",1980,21235,25021,25021417700,25002104177,2.50E+12,1697,21815,1.027,4,25002104177
14484,"Boston-Quincy, MA",1980,21235,25021,25021417800,25002104178,2.50E+12,2480,19432,0.915,3,25002104178
14484,"Boston-Quincy, MA",1980,21235,25021,25021417900,25002104179,2.50E+12,2361,18266,0.86,3,25002104179
14484,"Boston-Quincy, MA",1980,21235,25021,25021418000,25002104180,2.50E+12,2839,20077,0.945,3,25002104180
14484,"Boston-Quincy, MA",1980,21235,25021,25021418100,25002104181,2.50E+12,1760,22564,1.063,4,25002104181
14484,"Boston-Quincy, MA",1980,21235,25021,25021418200,25002104182,2.50E+12,1499,23078,1.087,4,25002104182
14484,"Boston-Quincy, MA",1980,21235,25021,25021419100,25002104191,2.50E+12,1536,26325,1.24,4,25002104191
14484,"Boston-Quincy, MA",1980,21235,25021,25021419200,25002104192,2.50E+12,1305,23066,1.086,4,25002104192
14484,"Boston-Quincy, MA",1980,21235,25021,25021419300,25002104193,2.50E+12,1198,22049,1.038,4,25002104193
14484,"Boston-Quincy, MA",1980,21235,25021,25021419400,25002104194,2.50E+12,866,22428,1.056,4,25002104194
14484,"Boston-Quincy, MA",1980,21235,25021,25021419500,25002104195,2.50E+12,888,25031,1.179,4,25002104195
14484,"Boston-Quincy, MA",1980,21235,25021,25021419600,25002104196,2.50E+12,1298,27867,1.312,5,25002104196
14484,"Boston-Quincy, MA",1980,21235,25021,25021419700,25002104197,2.50E+12,1005,27451,1.293,5,25002104197
14484,"Boston-Quincy, MA",1980,21235,25021,25021419800,25002104198,2.50E+12,1218,25575,1.204,4,25002104198
14484,"Boston-Quincy, MA",1980,21235,25021,25021420100,25002104201,2.50E+12,2052,23107,1.088,4,25002104201
14484,"Boston-Quincy, MA",1980,21235,25021,25021420200,25002104202,2.50E+12,2034,25913,1.22,4,25002104202
14484,"Boston-Quincy, MA",1980,21235,25021,25021420300,25002104203,2.50E+12,3426,22950,1.081,4,25002104203
14484,"Boston-Quincy, MA",1980,21235,25021,25021421100,25002104211,2.50E+12,1241,21520,1.013,4,25002104211
14484,"Boston-Quincy, MA",1980,21235,25021,25021421200,25002104212,2.50E+12,1618,24669,1.162,4,25002104212
14484,"Boston-Quincy, MA",1980,21235,25021,25021422100,25002104221,2.50E+12,1257,25776,1.214,4,25002104221
14484,"Boston-Quincy, MA",1980,21235,25021,25021422200,25002104222,2.50E+12,1960,22022,1.037,4,25002104222
14484,"Boston-Quincy, MA",1980,21235,25021,25021422300,25002104223,2.50E+12,2233,24754,1.166,4,25002104223
14484,"Boston-Quincy, MA",1980,21235,25021,25021422400,25002104224,2.50E+12,1981,21601,1.017,4,25002104224
14484,"Boston-Quincy, MA",1980,21235,25021,25021422500,25002104225,2.50E+12,2468,20245,0.953,3,25002104225
14484,"Boston-Quincy, MA",1980,21235,25021,25021422600,25002104226,2.50E+12,1860,25102,1.182,4,25002104226
14484,"Boston-Quincy, MA",1980,21235,25021,25021422700,25002104227,2.50E+12,1184,23906,1.126,4,25002104227
14484,"Boston-Quincy, MA",1980,21235,25021,25021422800,25002104228,2.50E+12,1161,20584,0.969,3,25002104228
14484,"Boston-Quincy, MA",1980,21235,25021,25021423100,25002104231,2.50E+12,1874,30176,1.421,5,25002104231
14484,"Boston-Quincy, MA",1980,21235,25021,25021440100,25002104401,2.50E+12,1570,21736,1.024,4,25002104401
14484,"Boston-Quincy, MA",1980,21235,25021,25021441100,25002104411,2.50E+12,15,21250,1.001,4,25002104411
14484,"Boston-Quincy, MA",1980,21235,25021,25021441200,25002104412,2.50E+12,1707,23792,1.12,4,25002104412
14484,"Boston-Quincy, MA",1980,21235,25021,25021442100,25002104421,2.50E+12,2830,25852,1.217,4,25002104421
14484,"Boston-Quincy, MA",1980,21235,25021,25021442200,25002104422,2.50E+12,1667,19475,0.917,3,25002104422
14484,"Boston-Quincy, MA",1980,21235,25021,25021443100,25002104431,2.50E+12,3721,22724,1.07,4,25002104431
14484,"Boston-Quincy, MA",1980,21235,25021,25021456101,2.50E+12,2.50E+12,1007,23014,1.084,4,2500210456101
14484,"Boston-Quincy, MA",1980,21235,25021,25021456102,2.50E+12,2.50E+12,1196,22225,1.047,4,2500210456102
14484,"Boston-Quincy, MA",1980,21235,25021,25021456200,25002104562,2.50E+12,686,25103,1.182,4,25002104562
14484,"Boston-Quincy, MA",1980,21235,25021,25021456300,25002104563,2.50E+12,2027,22184,1.045,4,25002104563
14484,"Boston-Quincy, MA",1980,21235,25021,25021456401,2.50E+12,2.50E+12,823,21461,1.011,4,2500210456401
