metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
14484,"Boston-Quincy, MA",2008,84103,25021,25021413402,2.50E+12,2.50E+12,1021,84976,1.01,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021413500,25002104135,2.50E+12,1079,83365,0.991,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021414100,25002104141,2.50E+12,1524,137955,1.64,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021414200,25002104142,2.50E+12,2259,145552,1.731,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021414300,25002104143,2.50E+12,1247,104071,1.237,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021415101,2.50E+12,2.50E+12,1142,108387,1.289,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021415102,2.50E+12,2.50E+12,2159,91456,1.087,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021415200,25002104152,2.50E+12,1456,116290,1.383,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021415300,25002104153,2.50E+12,1029,140417,1.67,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021416101,2.50E+12,2.50E+12,1397,145901,1.735,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021416102,2.50E+12,2.50E+12,704,146196,1.738,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021416200,25002104162,2.50E+12,1789,101660,1.209,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021416300,25002104163,2.50E+12,1268,135947,1.616,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021416400,25002104164,2.50E+12,1722,119500,1.421,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021417100,25002104171,2.50E+12,987,80313,0.955,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021417200,25002104172,2.50E+12,1889,77958,0.927,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021417300,25002104173,2.50E+12,513,112260,1.335,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021417400,25002104174,2.50E+12,611,107031,1.273,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021417501,2.50E+12,2.50E+12,1334,80282,0.955,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021417502,2.50E+12,2.50E+12,1074,56149,0.668,2
14484,"Boston-Quincy, MA",2008,84103,25021,25021417601,2.50E+12,2.50E+12,1141,90966,1.082,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021417602,2.50E+12,2.50E+12,1243,77599,0.923,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021417701,2.50E+12,2.50E+12,920,77045,0.916,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021417702,2.50E+12,2.50E+12,627,106359,1.265,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021417801,2.50E+12,2.50E+12,1406,90104,1.071,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021417802,2.50E+12,2.50E+12,814,19983,0.238,1
14484,"Boston-Quincy, MA",2008,84103,25021,25021417901,2.50E+12,2.50E+12,1264,49615,0.59,1
14484,"Boston-Quincy, MA",2008,84103,25021,25021417902,2.50E+12,2.50E+12,687,67337,0.801,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021418002,2.50E+12,2.50E+12,1710,83148,0.989,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021418003,2.50E+12,2.50E+12,658,94837,1.128,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021418004,2.50E+12,2.50E+12,866,40962,0.487,1
14484,"Boston-Quincy, MA",2008,84103,25021,25021418101,2.50E+12,2.50E+12,988,83056,0.988,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021418102,2.50E+12,2.50E+12,819,64680,0.769,2
14484,"Boston-Quincy, MA",2008,84103,25021,25021418200,25002104182,2.50E+12,1490,76472,0.909,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021419100,25002104191,2.50E+12,1598,90161,1.072,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021419200,25002104192,2.50E+12,1248,98000,1.165,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021419300,25002104193,2.50E+12,915,96369,1.146,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021419400,25002104194,2.50E+12,813,95438,1.135,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021419500,25002104195,2.50E+12,806,90978,1.082,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021419600,25002104196,2.50E+12,1703,102136,1.214,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021419700,25002104197,2.50E+12,952,102738,1.222,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021419800,25002104198,2.50E+12,1050,86818,1.032,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021420100,25002104201,2.50E+12,1932,69196,0.823,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021420201,2.50E+12,2.50E+12,881,91493,1.088,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021420202,2.50E+12,2.50E+12,1518,72898,0.867,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021420301,2.50E+12,2.50E+12,1730,86091,1.024,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021420302,2.50E+12,2.50E+12,2217,84311,1.002,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021421100,25002104211,2.50E+12,1407,62067,0.738,2
14484,"Boston-Quincy, MA",2008,84103,25021,25021421200,25002104212,2.50E+12,1500,84115,1,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021422100,25002104221,2.50E+12,1441,118046,1.404,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021422200,25002104222,2.50E+12,1890,76429,0.909,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021422301,2.50E+12,2.50E+12,854,79815,0.949,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021422302,2.50E+12,2.50E+12,1517,97371,1.158,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021422400,25002104224,2.50E+12,1968,74786,0.889,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021422501,2.50E+12,2.50E+12,1171,80020,0.951,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021422502,2.50E+12,2.50E+12,1242,62984,0.749,2
14484,"Boston-Quincy, MA",2008,84103,25021,25021422600,25002104226,2.50E+12,1767,106797,1.27,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021422700,25002104227,2.50E+12,945,94594,1.125,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021422800,25002104228,2.50E+12,1041,81551,0.97,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021423100,25002104231,2.50E+12,1933,143839,1.71,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021440100,25002104401,2.50E+12,2215,90558,1.077,4
